INFO:root:Train set: Epoch: [70/300]	Losses: tot:1.45222204	hm:0.48092121	wh:0.64537597	reg:0.13786267	dep:0.00728679	tracking:0.76161378	
INFO:root:Val set: Epoch: [70/300]	Losses: tot:1.03811309	hm:0.38468727	wh:0.49757022	reg:0.10928235	dep:0.00491238	tracking:0.48947406	
INFO:root:Train set: Epoch: [71/300]	Losses: tot:1.41257611	hm:0.47529386	wh:0.62554839	reg:0.13450299	dep:0.00716809	tracking:0.73305635	
INFO:root:Train set: Epoch: [72/300]	Losses: tot:1.37121599	hm:0.46500615	wh:0.61198587	reg:0.13370361	dep:0.00716907	tracking:0.70413857	
INFO:root:Train set: Epoch: [73/300]	Losses: tot:1.36507916	hm:0.46566042	wh:0.59412027	reg:0.13422812	dep:0.00691473	tracking:0.69886387	
INFO:root:Train set: Epoch: [74/300]	Losses: tot:1.39757982	hm:0.46805418	wh:0.60490425	reg:0.13430144	dep:0.0070212	tracking:0.72771257	
INFO:root:Train set: Epoch: [75/300]	Losses: tot:1.38242285	hm:0.46982377	wh:0.60171237	reg:0.13410184	dep:0.00708097	tracking:0.71124503	
INFO:root:Train set: Epoch: [76/300]	Losses: tot:1.35046455	hm:0.46048635	wh:0.60101547	reg:0.13329454	dep:0.00697899	tracking:0.68960312	
INFO:root:Train set: Epoch: [77/300]	Losses: tot:1.34691157	hm:0.46532147	wh:0.60676011	reg:0.13391077	dep:0.00697481	tracking:0.68002851	
INFO:root:Train set: Epoch: [78/300]	Losses: tot:1.34280552	hm:0.45480299	wh:0.59159427	reg:0.13310427	dep:0.00701013	tracking:0.6887287	
INFO:root:Train set: Epoch: [79/300]	Losses: tot:1.36366729	hm:0.46225974	wh:0.5849427	reg:0.1334761	dep:0.00710144	tracking:0.70233574	
INFO:root:Train set: Epoch: [80/300]	Losses: tot:1.30965737	hm:0.45887866	wh:0.57981843	reg:0.13266698	dep:0.00704146	tracking:0.65308842	
INFO:root:Val set: Epoch: [80/300]	Losses: tot:0.95128084	hm:0.37359676	wh:0.45542901	reg:0.11231544	dep:0.00519276	tracking:0.41463297	
INFO:root:Train set: Epoch: [81/300]	Losses: tot:1.30959995	hm:0.4561833	wh:0.58861134	reg:0.13320835	dep:0.00690793	tracking:0.65443924	
INFO:root:Train set: Epoch: [82/300]	Losses: tot:1.27909714	hm:0.45360702	wh:0.59059569	reg:0.13234508	dep:0.00681128	tracking:0.62727419	
INFO:root:Train set: Epoch: [83/300]	Losses: tot:1.38645511	hm:0.46938173	wh:0.62097653	reg:0.13409709	dep:0.0069724	tracking:0.71390624	
INFO:root:Train set: Epoch: [84/300]	Losses: tot:1.3067627	hm:0.45719833	wh:0.57874109	reg:0.13188109	dep:0.00699293	tracking:0.65281623	
INFO:root:Train set: Epoch: [85/300]	Losses: tot:1.34158807	hm:0.45576837	wh:0.59647066	reg:0.13253093	dep:0.00707669	tracking:0.68656501	
